%adult+stretch.data
%For your reference, the decision tree learned is the following. You don't have to use the same format. 
%Each leaf node comes with the number of instances classified in that node.
%act = STRETCH
%|   age = ADULT: T (8.0)
%|   age = CHILD: F (4.0)
%act = DIP: F (8.0)

@relation set1

@attribute color {YELLOW, PURPLE}
@attribute size  {LARGE, SMALL}
@attribute act {STRETCH, DIP}
@attribute age {ADULT, CHILD}
@attribute inflated {T, F}

@data
YELLOW,SMALL,STRETCH,ADULT,T
YELLOW,SMALL,STRETCH,ADULT,T
YELLOW,SMALL,STRETCH,CHILD,F
YELLOW,SMALL,DIP,ADULT,F
YELLOW,SMALL,DIP,CHILD,F
YELLOW,LARGE,STRETCH,ADULT,T
YELLOW,LARGE,STRETCH,ADULT,T
YELLOW,LARGE,STRETCH,CHILD,F
YELLOW,LARGE,DIP,ADULT,F
YELLOW,LARGE,DIP,CHILD,F
PURPLE,SMALL,STRETCH,ADULT,T
PURPLE,SMALL,STRETCH,ADULT,T
PURPLE,SMALL,STRETCH,CHILD,F
PURPLE,SMALL,DIP,ADULT,F
PURPLE,SMALL,DIP,CHILD,F
PURPLE,LARGE,STRETCH,ADULT,T
PURPLE,LARGE,STRETCH,ADULT,T
PURPLE,LARGE,STRETCH,CHILD,F
PURPLE,LARGE,DIP,ADULT,F
PURPLE,LARGE,DIP,CHILD,F
